chaps_id,CalfID,entry_date,weight,hip_height,frame_score,status,notes,group,stage
624,Y1150,,0,0,0,FALSE,,,R
625,Y1154,,0,0,0,FALSE,,,R
626,Y1157,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
627,Y1162,,0,0,0,FALSE,,,R
628,Y1163,,0,0,0,FALSE,,,R
629,Y1167,,0,0,0,FALSE,,,R
630,Y1170,,0,0,0,FALSE,,,R
631,Y1172,,0,0,0,FALSE,,,R
632,Y1176,,0,0,0,FALSE,,,R
633,Y1182,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
634,Y1185,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
635,Y1193,,0,0,0,FALSE,,,R
636,Y1199,,0,0,0,FALSE,,,R
637,Y1211,,0,0,0,FALSE,,,R
638,Y1221,,0,0,0,FALSE,,,R
639,YMS04,,0,0,0,FALSE,,,R
640,YMS05,,0,0,0,FALSE,,,R
641,YMS06,,0,0,0,FALSE,,,R
642,YMS07,,0,0,0,FALSE,,,R
643,YMS13,,0,0,0,FALSE,,,R
644,YMS21,,0,0,0,FALSE,,,R
645,YMSEarly,,0,0,0,FALSE,,,R
665,Z2001,2013-01-08,484,0,0,TRUE,TO LINGLE WY 05/07/2013,,R
666,Z2003,,0,0,0,FALSE,,,R
667,Z2005,,0,0,0,FALSE,,,R
668,Z2012,,0,0,0,FALSE,,,R
669,Z2019,,0,0,0,FALSE,,,R
670,Z2024,2013-01-08,436,0,0,TRUE,,,R
671,Z2025,2013-01-08,518,0,0,TRUE,,,R
672,Z2026,,0,0,0,FALSE,,,R
673,Z2027,2013-01-08,524,0,0,TRUE,TO LINGLE WY 05/07/2013,,R
674,Z2030,2013-01-08,504,0,0,TRUE,,,R
675,Z2031,,0,0,0,FALSE,,,R
676,Z2032,,0,0,0,FALSE,,,R
677,Z2033,2013-01-08,530,0,0,TRUE,TO LINGLE WY 05/07/2013,,R
678,Z2034,2013-01-08,468,0,0,TRUE,,,R
679,Z2037,2013-01-08,504,0,0,TRUE,,,R
680,Z2042,,0,0,0,FALSE,,,R
681,Z2043,,0,0,0,FALSE,,,R
682,Z2046,,0,0,0,FALSE,,,R
683,Z2047,2013-01-08,518,0,0,TRUE,TO LINGLE WY 05/07/2013,,R
684,Z2051,,0,0,0,FALSE,,,R
685,Z2052,,0,0,0,FALSE,,,R
686,Z2053,,0,0,0,FALSE,,,R
687,Z2056,,0,0,0,FALSE,,,R
688,Z2060,,0,0,0,FALSE,,,R
689,Z2062,,0,0,0,FALSE,,,R
690,Z2063,,0,0,0,FALSE,,,R
691,Z2064,2013-01-08,530,0,0,TRUE,,,R
692,Z2070,,0,0,0,FALSE,,,R
693,Z2072,,0,0,0,FALSE,,,R
694,Z2075,,0,0,0,FALSE,,,R
695,Z2081,,0,0,0,FALSE,,,R
696,Z2085,,0,0,0,FALSE,,,R
697,Z2086,,0,0,0,FALSE,,,R
698,Z2091,2013-01-08,520,0,0,TRUE,TO LINGLE WY 05/07/2013,,R
699,Z2092,,0,0,0,FALSE,,,R
700,Z2093,2013-01-08,436,0,0,TRUE,TO LINGLE WY 05/07/2013,,R
701,Z2096,2013-01-08,474,0,0,TRUE,"SOLD 05/02/2013 
FENCE CRAWLER",,R
702,Z2097,,0,0,0,FALSE,,,R
703,Z2098,,0,0,0,FALSE,,,R
704,Z2099,,0,0,0,FALSE,,,R
705,Z2103,,0,0,0,FALSE,,,R
706,Z2104,2013-01-08,552,0,0,TRUE,,,R
707,Z2105,2013-01-08,428,0,0,TRUE,,,R
708,Z2112,2013-01-08,554,0,0,TRUE,,,R
709,Z2118,,0,0,0,FALSE,,,R
710,Z2119,,0,0,0,FALSE,,,R
711,Z2123,,0,0,0,FALSE,,,R
712,Z2125,,0,0,0,FALSE,,,R
713,Z2127,2013-01-08,522,0,0,TRUE,,,R
714,Z2128,2013-01-08,496,0,0,TRUE,,,R
715,Z2131,2013-01-08,434,0,0,TRUE,,,R
716,Z2133,2013-01-08,414,0,0,TRUE,TO LINGLE WY 05/07/2013,,R
717,Z2134,2013-01-08,348,0,0,TRUE,,,R
718,Z2140,2013-01-08,522,0,0,TRUE,TO LINGLE WY 05/07/2013,,R
719,Z2144,,0,0,0,FALSE,,,R
720,Z2145,,0,0,0,FALSE,,,R
721,Z2151,2013-01-08,352,0,0,TRUE,,,R
722,Z2154,2013-01-08,544,0,0,TRUE,,,R
723,Z2155,,0,0,0,FALSE,,,R
724,Z2157,,0,0,0,FALSE,,,R
725,Z2161,2013-01-08,452,0,0,TRUE,TO LINGLE WY 05/07/2013,,R
726,Z2163,,0,0,0,FALSE,,,R
727,Z2164,2013-01-08,496,0,0,TRUE,TO LINGLE WY 05/07/2013,,R
728,Z2171,2013-01-08,550,0,0,TRUE,TO LINGLE WY 05/07/2013,,R
729,Z2173,2013-01-08,438,0,0,TRUE,,,R
730,Z2176,2013-01-08,474,0,0,TRUE,TO LINGLE WY 05/07/2013,,R
731,Z2177,,0,0,0,FALSE,,,R
732,Z2180,2013-01-08,472,0,0,TRUE,,,R
733,Z2181,2013-01-08,416,0,0,TRUE,TO LINGLE WY 05/07/2013,,R
734,Z2182,,0,0,0,FALSE,,,R
735,Z2189,,0,0,0,FALSE,,,R
736,Z2192,,0,0,0,FALSE,,,R
737,Z2200,,0,0,0,FALSE,,,R
738,Z2201,,0,0,0,FALSE,,,R
739,Z2208,2013-01-08,400,0,0,TRUE,TO LINGLE WY 05/07/2013,,R
740,Z2214,2013-01-08,476,0,0,TRUE,TO LINGLE WY 05/07/2013,,R
741,Z2222,2013-01-08,400,0,0,TRUE,,,R
742,ZMS06,,0,0,0,FALSE,,,R
743,ZMS07,,0,0,0,FALSE,,,R
744,ZMS09,,0,0,0,FALSE,,,R
745,ZMS11,,0,0,0,FALSE,,,R
746,ZMSNC2,,0,0,0,FALSE,,,R
