chaps_id,CalfID,date_weighed,managecode,group,grade,lot_no
557,XMS11,2010-04-03,C,,0,
558,XMS14,2010-10-15,A,,0,
559,XMS15,2010-10-15,A,,0,
560,XMS2,2010-01-30,B,,0,
561,XMS4,2010-03-14,C,,0,
562,XMS7,2010-03-21,C,,0,
563,Y1003,2011-10-27,0,,0,
564,Y1005,2011-10-14,0,,0,
565,Y1009,2011-10-14,0,,0,
566,Y1013,2011-10-14,0,,0,
567,Y1014,2011-10-14,0,,0,
568,Y1015,2011-10-14,0,,0,
569,Y1017,2011-10-14,0,,0,
570,Y1018,2011-10-27,0,,0,
571,Y1023,2011-10-14,0,,0,
572,Y1026,2011-10-14,0,,0,
573,Y1028,2011-10-14,0,,0,
574,Y1029,2011-10-14,0,,0,
575,Y1030,2011-10-14,0,,0,
576,Y1031,2011-10-14,0,,0,
577,Y1032,2011-10-14,0,,0,
578,Y1036,2011-10-14,0,,0,
579,Y1038,2011-10-14,0,,0,
580,Y1039,2011-10-14,0,,0,
581,Y1040,2011-10-14,0,,0,
582,Y1042,2011-10-14,0,,0,
583,Y1044,2011-10-14,0,,0,
584,Y1045,2011-10-14,0,,0,
585,Y1046,2011-10-14,0,,0,
586,Y1047,2011-10-14,0,,0,
587,Y1048,2011-10-14,0,,0,
588,Y1049,2011-10-27,0,,0,
589,Y1052,2011-10-14,0,,0,
590,Y1053,2011-10-27,0,,0,
591,Y1055,2011-10-14,0,,0,
592,Y1056,2011-10-14,0,,0,
593,Y1057,2011-10-14,0,,0,
594,Y1058,2011-10-14,0,,0,
595,Y1059,2011-10-14,0,,0,
596,Y1060,2011-10-27,0,,0,
597,Y1061,2011-10-14,0,,0,
598,Y1062,2011-10-14,0,,0,
599,Y1063,2011-10-14,0,,0,
600,Y1064,,X,,0,
601,Y1067,2011-10-14,0,,0,
602,Y1068,2011-10-14,0,,0,
603,Y1069,2011-10-14,0,,0,
604,Y1070,2011-10-14,0,,0,
605,Y1071,2011-10-27,0,,0,
606,Y1072,2011-10-14,0,,0,
607,Y1075,2011-10-14,0,,0,
608,Y1076,2011-10-14,E,,0,
609,Y1077,2011-10-14,0,,0,
610,Y1081,2011-10-14,0,,0,
611,Y1085,2011-10-14,0,,0,
612,Y1086,2011-10-14,0,,0,
613,Y1087,2011-10-14,0,,0,
614,Y1088,2011-10-27,0,,0,
615,Y1091,2011-10-14,0,,0,
616,Y1102,2011-10-27,0,,0,
617,Y1103,2011-10-27,0,,0,
618,Y1118,2011-10-14,0,,0,
619,Y1119,2011-10-14,0,,0,
620,Y1130,2011-10-14,0,,0,
621,Y1141,2011-10-14,0,,0,
622,Y1143,2011-10-14,0,,0,
623,Y1146,2011-10-14,0,,0,
624,Y1150,2011-10-14,0,,0,
625,Y1154,2011-10-14,0,,0,
626,Y1157,2011-10-14,0,,0,
627,Y1162,2011-10-14,0,,0,
628,Y1163,2011-04-10,C,,0,
629,Y1167,2011-10-14,0,,0,
630,Y1170,2011-10-14,0,,0,
631,Y1172,,X,,0,
632,Y1176,2011-10-14,0,,0,
633,Y1182,2011-10-27,0,,0,
634,Y1185,2011-10-14,0,,0,
635,Y1193,,X,,0,
636,Y1199,2011-10-14,E,,0,
637,Y1211,2011-10-27,0,,0,
638,Y1221,2011-10-27,0,,0,
639,YMS04,2011-03-06,C,,0,
640,YMS05,2011-03-10,C,,0,
641,YMS06,2011-03-11,C,,0,
642,YMS07,2011-03-11,C,,0,
643,YMS13,2011-02-22,C,,0,
644,YMS21,2011-04-04,C,,0,
645,YMSEarly,2011-02-24,B,,0,
646,Z001,1990-10-18,,,,
647,Z002,1990-10-22,,,,
648,Z003,1990-10-25,,,,
649,Z005,1990-10-22,,,,
650,Z006,1990-10-25,,,,
651,Z007,1990-10-22,,,,
652,Z008,1990-10-18,,,,
653,Z009,1990-10-25,,,,
654,Z010,1990-10-25,,,,
655,Z011,1990-10-18,,,,
656,Z012,1990-10-25,,,,
657,Z013,1990-10-22,,,,
658,Z014,1990-10-18,,,,
659,Z015,1990-10-22,,,,
660,Z016,1990-10-25,,,,
661,Z017,1990-10-25,,,,
662,Z018,1990-10-25,,,,
663,Z019,1990-10-25,,,,
664,Z020,1990-10-25,,,,
665,Z2001,2012-11-15,0,,0,
666,Z2003,2012-11-15,0,,0,
667,Z2005,2012-11-15,0,,0,
668,Z2012,2012-05-12,D,,0,
669,Z2019,2012-11-15,0,,0,
670,Z2024,2012-11-15,0,,0,
671,Z2025,2012-11-15,0,,0,
672,Z2026,2012-11-15,0,,0,
673,Z2027,2012-11-15,0,,0,
674,Z2030,2012-11-15,0,,0,
675,Z2031,2012-11-15,0,,0,
676,Z2032,2012-11-15,0,,0,
677,Z2033,2012-11-15,0,,0,
678,Z2034,2012-11-15,0,,0,
679,Z2037,2012-11-15,0,,0,
680,Z2042,2012-11-15,0,,0,
681,Z2043,2012-11-15,K,,0,
682,Z2046,2012-11-15,0,,0,
683,Z2047,2012-11-15,0,,0,
684,Z2051,2012-11-15,0,,0,
685,Z2052,2012-11-15,0,,0,
686,Z2053,2012-11-15,0,,0,
687,Z2056,2012-11-15,0,,0,
688,Z2060,2012-11-15,0,,0,
689,Z2062,2012-11-15,0,,0,
690,Z2063,2012-11-15,0,,0,
691,Z2064,2012-11-15,0,,0,
692,Z2070,2012-11-15,0,,0,
693,Z2072,2012-11-15,0,,0,
694,Z2075,2012-11-15,0,,0,
695,Z2081,2012-11-15,0,,0,
696,Z2085,2012-11-15,0,,0,
697,Z2086,2012-11-15,0,,0,
698,Z2091,2012-11-15,0,,0,
699,Z2092,2012-11-15,0,,0,
700,Z2093,2012-11-15,0,,0,
701,Z2096,2012-11-15,0,,0,
702,Z2097,2012-05-25,D,,0,
703,Z2098,2012-11-15,0,,0,
704,Z2099,2012-11-15,0,,0,
705,Z2103,2012-11-15,0,,0,
706,Z2104,2012-11-15,0,,0,
707,Z2105,2012-11-15,0,,0,
708,Z2112,2012-11-15,0,,0,
709,Z2118,2012-11-15,0,,0,
710,Z2119,2012-11-15,0,,0,
711,Z2123,2012-11-15,0,,0,
712,Z2125,2012-11-15,0,,0,
713,Z2127,2012-11-15,0,,0,
714,Z2128,2012-11-15,0,,0,
715,Z2131,2012-11-15,0,,0,
716,Z2133,2012-11-15,0,,0,
717,Z2134,2012-11-15,0,,0,
718,Z2140,2012-11-15,0,,0,
719,Z2144,2012-11-15,0,,0,
720,Z2145,2012-11-15,0,,0,
721,Z2151,2012-11-15,0,,0,
722,Z2154,2012-11-15,0,,0,
723,Z2155,2012-11-15,0,,0,
724,Z2157,2012-11-15,F,,0,
725,Z2161,2012-11-15,0,,0,
726,Z2163,2012-11-15,0,,0,
727,Z2164,2012-11-15,0,,0,
728,Z2171,2012-11-15,0,,0,
729,Z2173,2012-11-15,0,,0,
730,Z2176,2012-11-15,0,,0,
731,Z2177,2012-11-15,0,,0,
732,Z2180,2012-11-15,0,,0,
733,Z2181,2012-11-15,0,,0,
734,Z2182,2012-11-15,0,,0,
735,Z2189,2012-11-15,0,,0,
736,Z2192,2012-11-15,0,,0,
737,Z2200,2012-11-15,0,,0,
738,Z2201,2012-11-15,0,,0,
739,Z2208,2012-11-15,0,,0,
740,Z2214,2012-11-15,0,,0,
741,Z2222,2012-11-15,0,,0,
742,ZMS06,2012-05-18,C,,0,
743,ZMS07,2012-05-25,C,,0,
744,ZMS09,2012-06-01,C,,0,
745,ZMS11,2012-06-08,C,,0,
746,ZMSNC2,,0,,0,
