chaps_id,cowID,Bull_turnout_date,conceptdate,breeddate,breedwt,breedcond,weandate,weanwt,Wean_Condition_Score
10099,S6147,2006-06-16,,15-Mar-07,492,0,,0,0
10099,S6147,2007-06-18,19-Sep-07,,0,0,30-Oct-08,838,6
10100,S6158,2006-06-16,,15-Mar-07,560,0,,0,0
10100,S6158,2007-06-18,,,0,0,,0,0
10101,S6163,2006-06-16,,15-Mar-07,580,0,,0,0
10101,S6163,2007-06-18,19-Sep-07,,0,0,16-Oct-08,918,5
10101,S6163,2008-06-10,,,0,0,,0,0
10101,S6163,2009-06-18,,,0,0,16-Oct-09,1005,6
10102,S6164,2006-06-16,,15-Mar-07,540,0,,0,0
10102,S6164,2007-06-18,19-Sep-07,,0,0,30-Oct-08,864,6
10102,S6164,2008-06-10,,,0,0,,0,0
10102,S6164,2009-06-18,,,0,0,29-Oct-09,970,6
10102,S6164,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1090,5
10102,S6164,2011-08-08,14-Oct-11,14-Oct-11,1090,5,15-Nov-12,994,5
10102,S6164,2012-08-01,18-Oct-12,20-Jul-12,1105,5,14-Nov-13,1085,5
10102,S6164,2013-08-01,14-Nov-13,17-Jul-13,1110,5,19-Nov-14,1090,5
10103,S6165,2006-06-16,,15-Mar-07,580,0,,0,0
10103,S6165,2007-06-18,19-Sep-07,,0,0,30-Oct-08,896,6
10103,S6165,2008-06-10,,,0,0,,0,0
10103,S6165,2009-06-18,,,0,0,29-Oct-09,1060,6
10103,S6165,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1100,4
10103,S6165,2011-08-08,14-Oct-11,14-Oct-11,1100,4,15-Nov-12,1060,4
10103,S6165,2012-08-01,18-Oct-12,20-Jul-12,1205,6,14-Nov-13,1140,3
10103,S6165,2013-08-01,14-Nov-13,17-Jul-13,1255,4,17-Nov-14,1135,4
10104,S6183,2006-06-16,,15-Mar-07,482,0,,0,0
10104,S6183,2007-06-18,19-Sep-07,,0,0,16-Oct-08,832,5
10104,S6183,2008-06-10,,,0,0,,0,0
10104,S6183,2009-06-18,,,0,0,29-Oct-09,982,7
10104,S6183,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1055,5
10104,S6183,2011-08-08,14-Oct-11,14-Oct-11,1055,5,15-Nov-12,1010,5
10104,S6183,2012-08-01,18-Oct-12,20-Jul-12,1045,5,14-Nov-13,1095,4
10104,S6183,2013-08-01,14-Nov-13,17-Jul-13,1040,4,19-Nov-14,1090,5
10105,S6184,2006-06-16,,15-Mar-07,522,0,,0,0
10105,S6184,2007-06-18,19-Sep-07,,0,0,30-Oct-08,910,6
10105,S6184,2008-06-10,,,0,0,,0,0
10105,S6184,2009-06-18,,,0,0,29-Oct-09,970,6
10106,S6185,2006-06-16,,15-Mar-07,464,0,,0,0
10106,S6185,2007-06-18,19-Sep-07,,0,0,30-Oct-08,798,6
10106,S6185,2008-06-10,,,0,0,,0,0
10106,S6185,2009-06-18,,,0,0,,0,0
10106,S6185,2010-06-01,16-Aug-10,,0,0,,0,0
10107,S6196,2006-06-16,,15-Mar-07,528,0,,0,0
10107,S6196,2007-06-18,19-Sep-07,,0,0,30-Oct-08,934,6
10107,S6196,2008-06-10,,,0,0,,0,0
10107,S6196,2009-06-18,,,0,0,16-Oct-09,1020,6
10108,S6197,2006-06-16,,15-Mar-07,544,0,,0,0
10108,S6197,2007-06-18,19-Sep-07,,0,0,30-Oct-08,908,5
10108,S6197,2008-06-10,,,0,0,,0,0
10108,S6197,2009-06-18,,,0,0,16-Oct-09,958,5
10108,S6197,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1105,5
10108,S6197,2011-08-08,14-Oct-11,14-Oct-11,1105,5,15-Nov-12,950,5
10108,S6197,2012-08-01,18-Oct-12,20-Jul-12,1175,5,14-Nov-13,1140,4
10108,S6197,2013-08-01,14-Nov-13,17-Jul-13,1175,5,19-Nov-14,1115,5
10109,S6198,2006-06-16,,15-Mar-07,532,0,,0,0
10109,S6198,2007-06-18,19-Sep-07,,0,0,16-Oct-08,914,5
10109,S6198,2008-06-10,,,0,0,,0,0
10109,S6198,2009-06-18,,,0,0,16-Oct-09,1030,5
10110,S6208,2006-06-16,,15-Mar-07,524,0,,0,0
10110,S6208,2007-06-18,19-Sep-07,,0,0,30-Oct-08,832,6
10110,S6208,2008-06-10,,,0,0,,0,0
10111,S6230,2006-06-16,,15-Mar-07,444,0,,0,0
10111,S6230,2007-06-18,19-Sep-07,,0,0,,0,0
10111,S6230,2008-06-10,,,0,0,30-Oct-08,828,6
10111,S6230,2009-06-18,,,0,0,16-Oct-09,865,5
10111,S6230,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1085,5
10111,S6230,2011-08-08,14-Oct-11,14-Oct-11,1085,5,15-Nov-12,994,5
