chaps_id,CalfID,date_weighed,weight,hip_height,frame_score,status
414,U8133,2008-10-17,470,42,4.3,TRUE
415,U8150,2008-10-16,404,42,4.3,TRUE
416,U8154,2008-10-17,438,41,3.6,TRUE
417,U8163,2008-10-16,416,42,4.4,TRUE
418,U8180,2008-10-28,482,43,4.6,TRUE
419,U8189,,0,0,0,TRUE
420,U8190,2008-10-22,454,41,4,TRUE
421,U8191,2008-10-17,406,40,3.4,TRUE
422,U8200,2008-10-28,406,39,0,TRUE
423,U8205,2008-10-16,0,0,0,TRUE
424,U8242,2008-10-28,414,40,3.6,TRUE
425,U8255,2008-10-28,0,0,0,TRUE
426,U8256,2008-10-28,406,40,3.7,TRUE
427,U8262,2008-10-28,478,41,3.8,TRUE
428,U8263,2008-10-28,420,40,3.7,TRUE
429,U8268,2008-10-16,396,41,4.1,TRUE
430,U8270,2008-10-28,338,34,0.4,TRUE
431,U8271,2008-10-17,436,41,3.9,TRUE
432,U8276,2008-10-28,428,41,3.9,TRUE
433,U8277,2008-10-28,454,41,3.9,TRUE
434,U8278,2008-10-28,408,39,3.2,TRUE
435,U8300,2008-10-01,0,0,0,TRUE
436,U8303,2008-10-28,290,33,0.2,TRUE
437,U8305,2008-05-01,0,0,0,TRUE
438,U8310,2008-10-28,318,36,1.7,TRUE
439,U8313,2008-10-28,372,38,3,TRUE
440,U8314,2008-10-28,342,38,2.9,TRUE
441,U8316,2008-10-21,316,39,3.5,TRUE
442,U8317,2008-10-28,328,36,2,TRUE
443,UMS3,,0,0,0,FALSE
444,UMS4,,0,0,0,FALSE
445,W9048,2009-10-29,544,44.5,4.2,FALSE
446,W9051,2009-10-16,654,44,3.9,FALSE
447,W9052,2009-10-29,492,44.5,4.2,FALSE
448,W9053,2009-10-29,560,45,4.4,TRUE
449,W9057,2009-10-16,550,45,4.4,FALSE
450,W9058,2009-10-29,510,44,4,FALSE
451,W9059,2009-10-16,532,43.5,3.7,FALSE
452,W9060,2009-10-29,532,45,4.4,TRUE
453,W9069,2009-10-16,484,44.5,4.2,TRUE
454,W9072,2009-11-03,0,0,0,TRUE
455,W9073,2009-10-29,0,0,0,TRUE
456,W9076,2009-10-16,512,0,0,FALSE
457,W9077,2009-10-16,482,0,0,FALSE
458,W9089,2009-10-16,424,41,2.6,FALSE
459,W9107,2009-10-16,554,45,4.6,FALSE
460,W9108,2009-10-16,492,44.5,4.3,FALSE
461,W9109,2009-10-16,500,0,0,FALSE
462,W9120,2009-10-16,624,45,4.6,FALSE
463,W9123,2009-10-16,488,0,0,FALSE
464,W9124,2009-10-16,522,43.5,3.9,FALSE
465,W9125,2009-10-16,600,45.5,4.9,FALSE
466,W9148,2009-10-29,508,0,0,FALSE
467,W9157,2009-10-29,494,0,0,FALSE
468,W9158,2009-10-29,474,40,2.2,FALSE
469,W9178,2009-10-29,552,45,4.7,FALSE
470,W9186,2009-10-16,522,0,0,FALSE
471,W9187,2009-10-16,494,0,0,FALSE
472,W9188,2009-10-29,554,0,0,FALSE
473,W9189,2009-10-16,494,42.5,3.5,FALSE
474,W9196,2009-10-16,608,44,4.3,FALSE
475,W9207,2009-10-16,536,0,0,FALSE
476,W9208,2009-10-29,396,39.5,2.1,FALSE
477,W9214,2009-10-16,488,42,3.4,FALSE
478,W9215,2009-10-16,466,0,0,FALSE
479,W9217,2009-10-16,446,0,0,FALSE
480,W9224,2009-10-29,530,0,0,FALSE
481,W9227,2009-10-29,523,43.5,4.2,FALSE
482,W9235,2009-10-29,572,44.5,4.7,FALSE
483,W9240,2009-10-29,438,42,3.6,FALSE
484,W9245,2009-10-29,478,43,4.1,FALSE
485,W9251,2009-10-29,446,0,0,FALSE
486,WMS1,2009-11-03,0,0,0,TRUE
487,X0003,2010-10-15,548,42,4.1,TRUE
488,X0009,2010-10-15,604,43,4.2,TRUE
489,X0011,2010-10-15,610,44,4.7,TRUE
490,X0012,2010-10-15,524,40.5,3.4,TRUE
491,X0016,2010-10-15,554,43,4.7,TRUE
492,X0019,2010-10-15,512,40.5,3.5,TRUE
493,X0020,2010-10-15,578,42.5,4,TRUE
494,X0023,2010-10-15,600,43.5,4.5,TRUE
495,X0025,2010-10-15,546,42,3.8,TRUE
496,X0026,2010-10-15,422,41,3.7,TRUE
497,X0029,2010-10-15,548,41.5,4,TRUE
498,X0030,2010-10-15,508,42,4.2,TRUE
499,X0032,2010-10-15,518,41,3.8,TRUE
500,X0033,2010-10-15,582,44,4.8,TRUE
501,X0034,2010-10-15,510,42.5,4.5,TRUE
502,X0035,,0,0,0,TRUE
503,X0036,2010-10-15,532,41,3.8,TRUE
504,X0039,2010-10-15,610,43,4.8,TRUE
505,X0040,2010-10-15,528,42,3.9,TRUE
506,X0041,2010-10-15,530,41,3.4,TRUE
507,X0042,2010-10-15,400,39,2.4,TRUE
508,X0044,2010-10-15,606,43,4.8,TRUE
509,X0045,2010-10-15,550,42.5,4.2,TRUE
510,X0047,2010-10-15,558,43.5,4.7,TRUE
511,X0048,2010-10-15,582,43,4.8,TRUE
512,X0049,2010-10-15,518,41.5,4.1,TRUE
513,X0052,2010-10-15,514,41,3.9,TRUE
514,X0053,2010-10-15,534,42,3.9,TRUE
515,X0054,2010-10-15,440,41,3.9,TRUE
516,X0056,2010-10-15,548,41,3.9,TRUE
517,X0059,2010-10-15,486,40.5,3.7,TRUE
518,X0060,2010-10-15,546,42,4,TRUE
519,X0061,2010-10-15,682,43.5,4.7,TRUE
520,X0062,2010-10-15,606,43.5,4.7,TRUE
521,X0069,2010-10-15,610,42.5,4.3,TRUE
522,X0070,2010-10-15,586,44.5,5.6,TRUE
523,X0071,2010-10-15,464,38,2.5,TRUE
524,X0072,2010-10-15,548,40.5,3.7,TRUE
525,X0073,2010-10-15,542,42,4,TRUE
526,X0077,2010-10-15,644,44.5,5.3,TRUE
527,X0085,2010-10-15,590,42,4.5,TRUE
528,X0091,2010-10-15,508,40,3.2,TRUE
529,X0095,2010-10-15,568,42.5,4.8,TRUE
530,X0097,2010-10-15,492,42,4.2,TRUE
531,X0100,2010-10-15,644,43.5,4.9,TRUE
532,X0112,2010-10-15,490,41,3.7,TRUE
533,X0113,2010-10-15,606,44.5,5.4,TRUE
534,X0123,2010-10-15,476,39,2.7,TRUE
535,X0124,2010-10-15,584,44,5.2,TRUE
536,X0125,2010-10-15,554,43.5,5.3,TRUE
537,X0126,2010-10-15,626,41,3.7,TRUE
538,X0128,2010-10-15,380,38,2.7,TRUE
539,X0129,2010-10-15,484,41,4.1,TRUE
540,X0144,2010-10-15,434,38.5,2.9,FALSE
