chaps_id,CalfID,entry_date,weight,hip_height,frame_score,back_fat,rib_eye,marbling,scrotum_circum,scrotum_date,pelvic_area,pelvic_date,status,notes,365_day_weight,stage
174,3291,1993-10-19,495,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
175,3295,1993-10-07,472,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
176,3296,1993-10-19,545,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
177,3299,1993-10-07,433,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
178,3304,1993-10-15,500,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
179,3305,1993-10-06,480,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
180,3308,1993-10-06,525,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
181,3310,1993-10-15,549,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
182,3311,1993-10-06,570,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
183,3315,1993-10-08,483,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
184,3318,1993-10-07,588,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
185,3319,1993-10-19,480,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
186,3320,1993-10-07,486,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
187,3322,1993-10-07,500,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
188,3324,1993-10-15,508,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
189,3325,1993-10-07,630,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
190,3326,1993-10-07,517,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
191,3330,1993-10-18,445,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
192,3331,1993-10-15,535,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
193,3337,1993-10-18,450,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
